Category,Qwen3-Embedding-0.6B,USER-bge-m3,all-MiniLM-L6-v2,gte-base-en-v1.5,jina-code-embeddings-1.5b,rubert-tiny2
AI,1.0000,1.0000,0.7778,0.2704,0.8333,0.5833
MilDec,0.8333,0.6667,0.8333,1.0000,0.7778,0.7000
MilDec & AI,0.6667,1.0000,1.0000,1.0000,1.0000,0.2611
Overall,0.6250,0.6667,0.6528,0.5676,0.6528,0.3861
Unrelated,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
